URUNID;MIKTAR;FIRMAID;SEHIR;URUNTIPIID;SIPARISTARIHI;GELDIGITARIHI;TEDARIKSURESI
K730;1;T-060;TEKİRDAĞ;1;8 Eylül 2021 Çarşamba;10 Eylül 2021 Cuma;2
K522;1;T-034;İSTANBUL;1;14 Eylül 2021 Salı;15 Eylül 2021 Çarşamba;1
K1092;1;T-0211;KOCAELİ;1;20 Eylül 2021 Pazartesi;21 Eylül 2021 Salı;1
K390;1;T-060;TEKİRDAĞ;1;23 Eylül 2021 Perşembe;24 Eylül 2021 Cuma;1
K1092;1;T-0211;KOCAELİ;1;27 Eylül 2021 Pazartesi;28 Eylül 2021 Salı;1
K1092;1;T-0211;KOCAELİ;1;5 Ekim 2021 Salı;6 Ekim 2021 Çarşamba;1
K1010;1;T-0211;KOCAELİ;1;5 Ekim 2021 Salı;6 Ekim 2021 Çarşamba;1
K730;1;T-060;TEKİRDAĞ;1;5 Ekim 2021 Salı;8 Ekim 2021 Cuma;3
K730;1;T-060;TEKİRDAĞ;1;5 Ekim 2021 Salı;8 Ekim 2021 Cuma;3
K335;1;T-015;İSTANBUL;1;12 Ekim 2021 Salı;14 Ekim 2021 Perşembe;2
K1092;1;T-0211;KOCAELİ;1;11 Ekim 2021 Pazartesi;15 Ekim 2021 Cuma;4
K522;1;T-034;İSTANBUL;1;14 Ekim 2021 Perşembe;15 Ekim 2021 Cuma;1
K1092;1;T-0211;KOCAELİ;1;15 Ekim 2021 Cuma;21 Ekim 2021 Perşembe;6
K522;1;T-034;İSTANBUL;1;22 Ekim 2021 Cuma;23 Ekim 2021 Cumartesi;1
K1092;1;T-0211;KOCAELİ;1;22 Ekim 2021 Cuma;25 Ekim 2021 Pazartesi;3
K997;1;T-029;BURSA;1;21 Ekim 2021 Perşembe;25 Ekim 2021 Pazartesi;4
K427;1;T-077;İSTANBUL;1;9 Kasım 2021 Salı;10 Kasım 2021 Çarşamba;1
K1092;1;T-0211;KOCAELİ;1;4 Kasım 2021 Perşembe;11 Kasım 2021 Perşembe;7
K746;1;T-0129;TEKİRDAĞ;1;18 Kasım 2021 Perşembe;19 Kasım 2021 Cuma;1
K788;1;T-060;TEKİRDAĞ;1;12 Kasım 2021 Cuma;23 Kasım 2021 Salı;11
K788;1;T-060;TEKİRDAĞ;1;19 Kasım 2021 Cuma;23 Kasım 2021 Salı;4
K1092;1;T-0211;KOCAELİ;1;18 Kasım 2021 Perşembe;25 Kasım 2021 Perşembe;7
K730;1;T-060;TEKİRDAĞ;1;2 Aralık 2021 Perşembe;3 Aralık 2021 Cuma;1
K750;1;T-029;BURSA;1;8 Aralık 2021 Çarşamba;9 Aralık 2021 Perşembe;1
K1010;1;T-0211;KOCAELİ;1;21 Aralık 2021 Salı;22 Aralık 2021 Çarşamba;1
K1092;1;T-0211;KOCAELİ;1;17 Aralık 2021 Cuma;23 Aralık 2021 Perşembe;6
K746;1;T-0129;TEKİRDAĞ;1;23 Aralık 2021 Perşembe;24 Aralık 2021 Cuma;1
K522;1;T-034;İSTANBUL;1;30 Aralık 2021 Perşembe;5 Ocak 2022 Çarşamba;6
K522;1;T-034;İSTANBUL;1;30 Aralık 2021 Perşembe;13 Ocak 2022 Perşembe;14
K1092;1;T-0211;KOCAELİ;1;3 Ocak 2022 Pazartesi;21 Ocak 2022 Cuma;18
K788;1;T-060;TEKİRDAĞ;1;13 Ocak 2022 Perşembe;25 Ocak 2022 Salı;12
K788;1;T-060;TEKİRDAĞ;1;13 Ocak 2022 Perşembe;28 Ocak 2022 Cuma;15
K1092;1;T-0211;KOCAELİ;1;1 Şubat 2022 Salı;2 Şubat 2022 Çarşamba;1
K390;1;T-060;TEKİRDAĞ;1;7 Şubat 2022 Pazartesi;8 Şubat 2022 Salı;1
K1092;1;T-0211;KOCAELİ;1;9 Şubat 2022 Çarşamba;10 Şubat 2022 Perşembe;1
K427;1;T-077;İSTANBUL;1;15 Şubat 2022 Salı;16 Şubat 2022 Çarşamba;1
K1092;1;T-0211;KOCAELİ;1;21 Şubat 2022 Pazartesi;22 Şubat 2022 Salı;1
K1108;1;T-029;BURSA;1;16 Şubat 2022 Çarşamba;23 Şubat 2022 Çarşamba;7
K1108;1;T-029;BURSA;1;16 Şubat 2022 Çarşamba;2 Mart 2022 Çarşamba;14
K730;1;T-060;TEKİRDAĞ;1;2 Mart 2022 Çarşamba;3 Mart 2022 Perşembe;1
K1108;1;T-029;BURSA;1;4 Mart 2022 Cuma;5 Mart 2022 Cumartesi;1
K1092;1;T-0211;KOCAELİ;1;14 Mart 2022 Pazartesi;15 Mart 2022 Salı;1
K1010;1;T-0211;KOCAELİ;1;14 Mart 2022 Pazartesi;15 Mart 2022 Salı;1
K407;1;T-0133;İSTANBUL;1;7 Mart 2022 Pazartesi;14 Mart 2022 Pazartesi;7
K1092;1;T-0211;KOCAELİ;1;21 Mart 2022 Pazartesi;22 Mart 2022 Salı;1
K746;1;T-0129;TEKİRDAĞ;1;21 Mart 2022 Pazartesi;22 Mart 2022 Salı;1
K730;1;T-0142;;1;22 Mart 2022 Salı;24 Mart 2022 Perşembe;2
K746;1;T-0129;TEKİRDAĞ;1;11 Nisan 2022 Pazartesi;12 Nisan 2022 Salı;1
K1092;1;T-0211;KOCAELİ;1;14 Nisan 2022 Perşembe;15 Nisan 2022 Cuma;1
K1010;1;T-0211;KOCAELİ;1;18 Nisan 2022 Pazartesi;19 Nisan 2022 Salı;1
K1092;1;T-0211;KOCAELİ;1;26 Nisan 2022 Salı;27 Nisan 2022 Çarşamba;1
K407;1;T-0133;İSTANBUL;1;25 Nisan 2022 Pazartesi;27 Nisan 2022 Çarşamba;2
K788;1;T-060;TEKİRDAĞ;1;12 Nisan 2022 Salı;9 Mayıs 2022 Pazartesi;27
K1092;1;T-0211;KOCAELİ;1;18 Mayıs 2022 Çarşamba;20 Mayıs 2022 Cuma;2
K522;1;T-034;İSTANBUL;1;18 Mayıs 2022 Çarşamba;23 Mayıs 2022 Pazartesi;5
K407;1;T-0133;İSTANBUL;1;23 Mayıs 2022 Pazartesi;24 Mayıs 2022 Salı;1
K1010;1;T-0211;KOCAELİ;1;26 Mayıs 2022 Perşembe;27 Mayıs 2022 Cuma;1
K1092;1;T-0211;KOCAELİ;1;26 Mayıs 2022 Perşembe;31 Mayıs 2022 Salı;5
K730;1;T-060;TEKİRDAĞ;1;1 Haziran 2022 Çarşamba;2 Haziran 2022 Perşembe;1
K1092;1;T-0211;KOCAELİ;1;3 Haziran 2022 Cuma;6 Haziran 2022 Pazartesi;3
K9;1;T-060;TEKİRDAĞ;1;6 Haziran 2022 Pazartesi;7 Haziran 2022 Salı;1
K1092;1;T-0211;KOCAELİ;1;9 Haziran 2022 Perşembe;10 Haziran 2022 Cuma;1
K9;1;T-060;TEKİRDAĞ;1;16 Haziran 2022 Perşembe;20 Haziran 2022 Pazartesi;4
